trial,type,bleu,rougeL,bertscore_f1
sft1,coding_oneliner,1.316,1.835,-6.803
sft1,date_reasoning,0.924,3.556,-4.541
sft1,explanation_audience,1.327,10.196,11.71
sft1,extraction,21.132,35.714,44.851
sft1,factual_short,14.317,42.857,43.953
sft1,grammar,1.388,10.0,16.167
sft1,list_constrained,0.351,1.717,-11.823
sft1,math_reasoning,6.489,19.444,21.784
sft1,multi_step_math,3.026,10.0,22.337
sft1,rewriting_tone,1.321,5.217,-21.388
sft1,sentiment_3class,0.2,2.542,-15.377
sft1,sentiment_classification,0.648,3.67,-15.433
sft1,summarization_grounded,41.166,73.171,72.638
sft1,translation,55.032,100.0,47.803
sft1,unit_conversion,3.784,17.544,33.365
sft2,coding_oneliner,1.295,57.143,-62.296
sft2,date_reasoning,0.973,4.124,-4.711
sft2,explanation_audience,0.647,10.526,13.789
sft2,extraction,21.132,35.714,-45.99
sft2,factual_short,39.459,62.5,49.511
sft2,grammar,27.516,0.0,-54.506
sft2,list_constrained,22.75,66.667,46.82
sft2,math_reasoning,6.853,21.212,-44.076
sft2,multi_step_math,2.714,9.302,18.899
sft2,rewriting_tone,1.331,5.66,-19.161
sft2,sentiment_3class,0.33,2.691,-23.033
sft2,sentiment_classification,0.653,3.556,-17.781
sft2,summarization_grounded,41.166,76.923,-38.056
sft2,translation,0.47,1.923,-27.208
sft2,unit_conversion,1.481,7.299,-14.924
sft3,coding_oneliner,1.271,5.714,-39.977
sft3,date_reasoning,0.94,3.865,-1.869
sft3,explanation_audience,0.644,11.382,14.367
sft3,extraction,21.132,35.714,31.635
sft3,factual_short,23.254,42.857,45.442
sft3,grammar,0.0,100.0,-8.335
sft3,list_constrained,17.286,57.143,58.746
sft3,math_reasoning,2.634,7.778,-2.724
sft3,multi_step_math,2.958,10.0,24.656
sft3,rewriting_tone,1.851,8.163,-43.176
sft3,sentiment_3class,0.33,2.521,-15.968
sft3,sentiment_classification,1.004,3.571,-13.003
sft3,summarization_grounded,41.166,76.923,63.619
sft3,translation,0.55,2.857,-38.802
sft3,unit_conversion,5.467,24.39,41.72
sft4,coding_oneliner,1.271,5.714,-39.977
sft4,date_reasoning,1.144,4.598,-7.217
sft4,explanation_audience,0.647,10.526,12.643
sft4,extraction,21.132,35.714,31.635
sft4,factual_short,39.459,55.556,62.72
sft4,grammar,27.516,100.0,13.863
sft4,list_constrained,8.517,36.364,40.076
sft4,math_reasoning,6.853,20.588,21.839
sft4,multi_step_math,3.026,10.0,23.998
sft4,rewriting_tone,1.321,5.217,-20.744
sft4,sentiment_3class,0.33,2.679,-23.426
sft4,sentiment_classification,3.214,16.327,9.379
sft4,summarization_grounded,41.166,76.923,63.62
sft4,translation,55.032,100.0,47.803
sft4,unit_conversion,5.335,23.256,40.842
sft5,coding_oneliner,1.271,5.714,-39.977
sft5,date_reasoning,1.037,4.188,-7.085
sft5,explanation_audience,0.644,10.744,13.174
sft5,extraction,19.593,34.483,30.229
sft5,factual_short,23.254,42.857,45.442
sft5,grammar,27.516,100.0,13.863
sft5,list_constrained,17.286,57.143,53.477
sft5,math_reasoning,9.629,21.875,23.741
sft5,multi_step_math,2.893,9.524,21.504
sft5,rewriting_tone,5.181,15.789,-50.492
sft5,sentiment_3class,0.553,6.977,4.079
sft5,sentiment_classification,3.214,16.667,10.766
sft5,summarization_grounded,41.166,76.923,63.619
sft5,translation,55.032,100.0,47.803
sft5,unit_conversion,5.467,23.81,41.672
